max_velocity,weighted_velocity,mean_velocity,freq_of_max,area,label
4.8697512072714005e-11,1.135248986099039e-12,2.5473199929817547e-12,0.8772155082653814,8.035556627063156e-08,impact_mq
2.5352729913208298e-11,1.8921556393640107e-13,5.686999758953282e-13,0.8281300894618563,7.648820687378829e-08,impact_mq
3.4635899954003686e-11,7.980257400482433e-13,1.85863801916563e-12,0.969765546569208,5.8585027256198644e-08,impact_mq
2.0721487700100018e-11,1.940891589864491e-13,4.485189292219276e-13,0.828125,8.72761145784401e-08,impact_mq
1.354161694177282e-11,3.126640903198767e-13,7.601148106554978e-13,0.8281286484009817,5.877052618320203e-08,deep_mq
5.987094281255129e-11,1.800879231895162e-12,3.4937372020339374e-12,0.8333742076667674,1.7786772048396946e-07,impact_mq
1.7690012502868178e-10,9.0457925170621e-12,1.4865608163814936e-11,0.8678558274138385,7.11806770400234e-07,impact_mq
2.506202446761376e-11,5.269100809272847e-13,1.123764054365829e-12,0.8384128147904946,1.966940677414928e-07,impact_mq
1.3046132961250136e-11,2.8392182580574945e-13,6.333895976320428e-13,0.828116508471448,6.878916111111513e-08,deep_mq
2.7511694696484427e-11,6.11265177807649e-13,1.4040876457361438e-12,0.9731615173627284,4.890487228037855e-08,impact_mq
1.915401604150088e-11,4.716527308675878e-13,1.0827968462036996e-12,0.1192623267404877,1.162946695269907e-07,impact_mq
1.3857287513858247e-11,3.1252678552259894e-13,7.22673655378012e-13,0.8281250000000001,6.893023392898315e-08,impact_mq
1.5108342722443145e-11,2.0291249361216209e-13,4.94308245415079e-13,0.828125,6.666326637443711e-08,impact_mq
5.34814922405251e-11,7.691907752771033e-13,1.9404304053361977e-12,0.828165441715095,5.2172984389247825e-08,deep_mq
5.8205927519964136e-11,3.2665176861671097e-13,8.437796089639225e-13,0.8281124756128916,5.3657794739485416e-08,deep_mq
1.4428112135866727e-11,3.423703628672229e-13,7.761810063944863e-13,0.8870717432882865,7.663891564071185e-08,impact_mq
6.130880386044101e-11,2.68868194507988e-13,6.868467605965641e-13,0.8281327009810759,4.7886282459242656e-08,deep_mq
7.301761864194775e-11,3.776747719969733e-13,9.44716028984719e-13,0.8281311445000927,4.2151236802752765e-08,impact_mq
5.500321581195321e-12,1.534532982508822e-13,3.6634724514725005e-13,0.8443294758409305,6.152684098125042e-08,impact_mq
9.151471756668937e-11,3.078464275839848e-13,7.646102995240252e-13,0.8281170189184761,5.2904178196376746e-08,impact_mq
2.720683687165602e-11,2.657588707583203e-13,7.488538611644329e-13,0.828144852923549,3.672060909467755e-08,impact_mq
2.070779779722078e-11,8.438094794885018e-13,1.668910483872883e-12,0.8281291008670935,2.82220360295447e-07,shallow_mq
1.9553701440065463e-11,4.0422281947330697e-13,8.928655219725644e-13,0.9095132224677902,1.2707499090203681e-07,impact_mq
1.890133911827649e-11,3.854632581861837e-13,8.59806023275372e-13,0.8757142457829341,1.0848890504817248e-07,impact_mq
4.707216351131051e-11,1.732652910035625e-13,4.5435708708964564e-13,0.8281299602085209,7.186562647550129e-08,impact_mq
1.2684432046057191e-09,5.205067987341181e-11,9.485446966158655e-11,0.9534483192115256,1.7142216416566435e-06,impact_mq
2.3848912988239857e-10,7.89304241455079e-12,1.5691667701661624e-11,0.4391601173301025,2.0500911085770924e-06,impact_mq
4.184071559827259e-11,1.7661986890322858e-13,3.8210962567468717e-13,0.8281319214021247,5.2499320499339067e-08,impact_mq
7.894514519760256e-11,4.442045215209469e-13,9.434777595891553e-13,0.828125,1.8146158652617437e-07,impact_mq
1.6554912152673777e-10,6.302703391257496e-12,1.0634301400780291e-11,0.9017583387531356,7.302760233049253e-07,impact_mq
2.0911010593395312e-11,2.362242996104757e-13,5.306289087233449e-13,0.8281343840015591,8.631660637631149e-08,impact_mq
7.785065215812768e-11,1.6007405368949426e-13,3.651718232772305e-13,0.828123238934929,6.233524011949719e-08,impact_mq
8.129325406329357e-12,2.2206900464163546e-13,5.97539057096636e-13,0.8281309806092849,7.639261546458469e-08,impact_mq
4.245212097155324e-11,3.516986809762693e-13,7.277803857711223e-13,0.8281076387675665,4.167648603701e-08,impact_mq
1.906264613598685e-11,6.529491458216766e-13,1.3772444274323852e-12,0.9295522790577856,1.3433410482706732e-07,impact_mq
2.5198821091072675e-11,3.525378986032021e-13,1.0099818522080124e-12,0.108138752105393,5.442563806387152e-08,impact_mq
6.185140929912353e-11,1.558939338205943e-12,3.2884024624646213e-12,0.4253275635805319,4.97772156266708e-07,impact_mq
4.691774281606841e-10,1.20174377500579e-11,2.5327402471338477e-11,0.4252774452717645,4.904813948887767e-07,impact_mq
